title,parenttask,maxxp
C2_SimpleBashUtils,,250
C3_s21_stringplus,C2_SimpleBashUtils,500
C4_s21_math,C2_SimpleBashUtils,300
C5_s21_decimal,C2_SimpleBashUtils,350
C6_s21_matrix,C5_s21_decimal,200
C7_SmartCalc_v1.0,C6_s21_matrix,500
C8_3DViewer_v1.0,C7_SmartCalc_v1.0,750
CPP1_s21_matrixplus,C8_3DViewer_v1.0,300
CPP2_s21_containers,CPP1_s21_matrixplus,350
CPP3_SmartCalc_v2.0,CPP2_s21_containers,600
CPP4_3DViewer_v2.0,CPP3_SmartCalc_v2.0,750
CPP5_3DViewer_v2.1,CPP4_3DViewer_v2.0,600
CPP6_3DViewer_v2.2,CPP4_3DViewer_v2.0,800
CPP7_MLP,CPP4_3DViewer_v2.0,700
CPP8_PhotoLab_v1,CPP4_3DViewer_v2.0,450
CPP9_Monitoringsystem,CPP4_3DViewer_v2.0,1000
CPPE_CPP_Exam,CPP7_MLP,400
SQL1_SQL_Bootcamp,C8_3DViewer_v1.0,1500
SQL2_Info21_v1.0,SQL1_SQL_Bootcamp,500
A1_Maze,CPP4_3DViewer_v2.0,300
A2_SimpleNavigator,A1_Maze,400
A3_Parallels,A2_SimpleNavigator,300
A4_Crypto,A2_SimpleNavigator,350
A5_s21_memory,A2_SimpleNavigator,400
A6_Transactions,A2_SimpleNavigator,700
A7_DNAAnalyzer,A2_SimpleNavigator,800
A8_Algorithmictrading,A2_SimpleNavigator,800
DO1_Linux,C3_s21_stringplus,300
DO2_LinuxNetwork,DO1_Linux,250
DO3_LinuxMonitoring_v1.0,DO2_LinuxNetwork,350
DO4_LinuxMonitoring_v2.0,DO3_LinuxMonitoring_v1.0,350
DO5_SimpleDocker,DO3_LinuxMonitoring_v1.0,300
DO6_CICD,DO5_SimpleDocker,300
DOE-T_DevOpsExam,DO6_CICD,200
